V002,V024,V025,V106,V190,V201,V212,V221,V228,V312,V360,V384B,V457,V463X,V701,M18,S720,Zone
54,1,2,2,0.75,2,26,25,0,5,2,1,3,0,2,0,0,Northern Zone
48,1,2,2,0.25,1,22,12,0,0,14,1,1,0,2,0.5,0,Northern Zone
77,1,2,2,0.75,2,19,24,0,0,9,0,2,0,2,0.5,0,Northern Zone
98,1,2,2,0.75,2,29,12,0,6,2,0,4,0,2,0.5,0,Northern Zone
26,1,2,2,0.5,2,29,12,0,0,10,1,4,0,2,0.5,0,Northern Zone
28,1,2,3,1,2,22,20,0,5,3,1,4,0,3,0.5,0,Northern Zone
24,1,2,2,0.75,2,23,11,0,1,10,1,3,0,2,0.5,0,Northern Zone
71,1,2,1,0.25,3,21,18,0,1,9,1,3,0,2,0.5,0,Northern Zone
72,1,2,0,0.25,4,21,21,0,0,2,0,3,0,2,0.5,0,Northern Zone
8,1,2,0,0.75,4,24,51,0,9,2,0,1,0,0,0.5,0,Northern Zone
98,1,2,2,0.25,1,22,11,0,0,2,0,3,0,3,0.5,0,Northern Zone
7,1,2,2,0.75,2,25,10,0,5,2,1,3,0,2,0.5,0,Northern Zone
3,1,2,2,1,1,26,19,0,0,4,1,3,0,2,0.5,0,Northern Zone
78,1,2,0,0.25,2,20,9,0,0,2,0,2,0,2,0.5,0,Northern Zone
41,1,2,1,0.25,5,15,13,0,3,2,1,4,0,2,0.5,0,Northern Zone
25,1,2,2,1,2,19,15,0,9,2,1,2,0,2,0.5,0,Northern Zone
38,1,2,1,0,3,23,11,0,3,2,0,3,0,2,0.5,0,Northern Zone
32,1,2,0,0.25,3,23,4,0,1,1,1,4,0,2,0,0,Northern Zone
98,1,2,2,0.25,1,29,22,0,1,4,0,4,0,0,0.5,0,Northern Zone
75,1,2,1,0.5,2,22,20,0,1,2,1,4,0,2,0.5,0,Northern Zone
59,1,2,2,0.5,1,25,12,0,5,4,1,2,0,3,0.5,0,Northern Zone
84,1,2,0,0.5,1,27,12,0,1,10,0,2,0,0,0.5,1,Northern Zone
93,1,2,0,0.75,3,24,12,0,5,2,1,1,0,2,0.5,0,Northern Zone
41,1,2,0,0,3,21,15,0,5,3,0,3,0,0,0.5,0,Northern Zone
90,1,2,2,1,1,25,10,0,1,7,1,2,0,2,0.5,0,Northern Zone
65,1,1,2,0.5,1,30,11,0,5,3,1,4,0,2,0.5,0,Northern Zone
24,1,1,3,1,1,26,10,0,0,2,1,4,0,3,0,0,Northern Zone
83,1,2,0,0.75,3,30,19,0,0,2,0,2,0,2,0.5,0,Northern Zone
16,1,2,2,0.5,1,23,10,0,0,2,1,3,0,2,0.5,0,Northern Zone
44,1,1,1,1,2,19,33,0,5,10,0,2,0,2,0.5,0,Northern Zone
45,1,2,2,0.75,3,26,22,1,5,2,1,2,0,2,0.5,0,Northern Zone
49,1,1,3,0.75,2,25,14,0,5,4,0,3,0,3,0.5,0,Northern Zone
7,1,2,2,0.5,2,31,22,1,5,3,0,2,0,2,0.5,0,Northern Zone
75,1,2,2,1,2,20,19,0,0,9,1,2,0,2,1,0,Northern Zone
83,1,2,0,0,5,24,34,0,0,4,0,3,0,2,0.5,0,Northern Zone
93,1,1,3,0.75,2,25,14,0,0,2,1,2,0,2,0.5,0,Northern Zone
6,1,2,0,0.25,6,19,14,1,6,4,0,2,0,0,0.5,0,Northern Zone
81,1,2,2,0.25,2,29,11,0,9,10,1,2,0,2,0.5,0,Northern Zone
14,1,2,2,0.75,3,31,16,0,6,2,1,2,0,2,0.5,0,Northern Zone
14,1,2,2,0.25,1,24,7,0,3,4,1,2,0,2,0.5,0,Northern Zone
85,1,2,0,0.25,4,21,12,0,6,2,1,2,0,2,0.5,0,Northern Zone
37,1,2,2,1,2,24,13,0,0,2,1,4,0,3,0.5,0,Northern Zone
36,1,2,2,0.25,3,20,10,0,0,1,0,3,0,2,0.5,0,Northern Zone
33,1,2,2,0.25,2,28,11,0,0,6,1,4,0,2,0,0,Northern Zone
47,1,2,2,0.75,1,21,13,0,3,2,1,3,0,0,0,0,Northern Zone
55,1,2,2,0.25,2,18,33,1,0,1,1,2,0,2,0.5,0,Northern Zone
75,1,2,3,0.75,1,26,13,1,0,2,0,2,0,3,0.5,0,Northern Zone
43,1,2,2,0.5,2,25,13,1,5,1,0,4,0,2,0.75,0,Northern Zone
16,1,2,2,0.25,3,25,24,0,9,2,0,3,0,2,0.5,0,Northern Zone
51,1,2,3,0.75,2,26,9,1,0,2,1,3,0,3,0.5,0,Northern Zone
43,2,2,3,0.75,2,30,13,1,5,2,0,4,0,3,0.25,0,Northern Zone
63,2,2,2,0.5,3,26,22,0,0,2,1,2,0,2,0.5,0,Northern Zone
1,2,2,3,1,2,21,26,1,5,2,1,4,0,2,0.5,0,Northern Zone
68,2,2,1,1,3,20,10,0,5,2,1,3,0,1,0.5,0,Northern Zone
37,2,2,2,0.75,2,26,10,0,0,2,1,3,0,2,0,0,Northern Zone
24,2,2,1,0,4,15,16,0,7,9,0,3,0,0,0.5,0,Northern Zone
70,2,2,3,0.5,2,28,6,0,5,2,1,3,0,2,0.5,0,Northern Zone
57,2,2,2,0.75,2,19,11,0,5,2,0,2,0,2,0.5,0,Northern Zone
20,2,2,2,0.25,3,21,13,0,0,2,1,4,0,2,0.75,0,Northern Zone
84,2,2,3,1,1,24,16,0,9,1,0,3,0,2,0.75,0,Northern Zone
51,2,2,1,0.5,2,20,15,0,0,1,0,4,0,3,0.5,0,Northern Zone
65,2,1,3,1,1,32,50,0,5,2,0,4,0,3,0.5,0,Northern Zone
83,2,2,2,0.75,4,18,12,1,5,9,1,4,0,2,0.5,0,Northern Zone
45,2,2,2,0.5,2,20,11,0,0,2,1,2,0,2,0.25,0,Northern Zone
73,2,1,3,1,2,32,14,0,5,2,0,2,0,3,0.5,0,Northern Zone
2,2,2,2,0.75,3,20,10,0,6,2,1,4,0,1,0.5,0,Northern Zone
16,2,2,2,0,3,21,30,0,5,9,1,2,0,2,0.5,0,Northern Zone
4,2,2,2,0,2,22,12,0,9,2,0,4,0,2,0.5,0,Northern Zone
1,2,2,2,0.75,2,21,13,0,8,7,1,3,0,2,0.25,0,Northern Zone
29,2,2,3,0.75,1,24,31,0,9,2,1,4,0,2,0.5,0,Northern Zone
73,2,1,3,1,2,32,14,0,5,2,0,2,0,3,0.5,0,Northern Zone
95,2,2,1,0.25,2,26,14,0,6,1,0,3,0,2,0.5,0,Northern Zone
63,2,2,2,0.5,3,26,22,0,0,2,1,2,0,2,0.5,0,Northern Zone
37,2,2,2,0.75,2,26,10,0,0,2,1,3,0,2,0.5,0,Northern Zone
77,2,2,2,0.5,4,19,9,0,5,16,1,2,0,2,0.5,0,Northern Zone
61,2,1,2,1,1,21,31,0,5,8,1,4,0,2,0.5,0,Northern Zone
27,2,2,1,0.75,3,16,16,0,9,2,1,2,0,2,0.5,0,Northern Zone
80,2,2,2,0.5,2,23,11,0,8,7,1,4,0,3,0.5,0,Northern Zone
53,2,2,2,0.75,1,19,27,0,9,1,1,2,0,2,0.5,0,Northern Zone
46,2,2,2,1,1,22,11,0,9,2,1,3,0,3,0.25,0,Northern Zone
80,2,2,2,0.5,2,22,10,0,6,2,1,3,0,2,0.5,0,Northern Zone
75,2,2,2,0.75,1,28,30,1,9,1,1,4,0,3,0.5,0,Northern Zone
66,2,2,3,1,1,30,996,0,5,2,1,2,0,3,0.5,0,Northern Zone
49,2,2,3,0.75,1,33,35,0,0,9,0,4,0,3,0.25,0,Northern Zone
49,2,2,3,1,2,31,23,0,5,9,1,3,0,3,0.5,0,Northern Zone
3,2,2,2,0.25,1,22,12,0,5,2,1,3,0,2,0.5,0,Northern Zone
31,2,2,3,0.75,2,25,10,0,5,2,1,4,0,2,0.5,0,Northern Zone
7,2,2,1,1,2,26,17,1,2,2,1,4,0,2,0.75,0,Northern Zone
64,2,2,2,1,1,22,21,0,0,2,0,9,0,2,0.75,0,Northern Zone
86,2,2,2,0.75,2,25,11,0,5,2,1,2,0,2,0.75,0,Northern Zone
44,2,2,2,0.75,3,21,13,1,1,9,1,3,0,1,0,0,Northern Zone
84,2,2,2,0.75,2,22,23,1,0,9,0,3,0,2,0.25,0,Northern Zone
22,2,2,1,0.25,2,22,21,0,5,2,1,3,0,2,0.75,0,Northern Zone
10,2,2,2,0.25,2,20,24,0,0,2,1,4,0,2,0.5,0,Northern Zone
68,2,2,2,0.5,3,28,23,0,6,1,1,2,0,2,0.5,1,Northern Zone
21,2,2,1,0.5,2,19,9,0,9,2,1,2,0,2,0.25,0,Northern Zone
41,2,1,3,0.75,1,26,18,0,5,2,1,4,0,3,0.5,0,Northern Zone
47,2,2,2,0.25,2,30,10,0,9,98,1,4,0,2,0.5,0,Northern Zone
63,2,2,3,0.25,2,22,18,0,6,2,1,3,0,2,0.75,0,Northern Zone
23,2,2,3,1,1,22,13,0,0,2,1,4,0,3,0.5,0,Northern Zone
31,3,2,2,0.75,3,17,11,0,0,2,1,4,0,2,0.5,0,Northern Zone
48,3,1,3,1,1,23,11,0,5,3,1,3,0,2,0.5,0,Northern Zone
20,3,2,3,1,1,26,14,0,9,9,1,3,0,2,0.5,0,Northern Zone
41,3,1,3,1,1,24,18,0,5,4,1,3,0,2,0.5,0,Northern Zone
39,3,2,2,0.75,2,18,13,0,0,2,0,3,0,2,0.5,0,Northern Zone
17,3,1,0,1,1,20,28,0,0,3,0,9,0,2,0.5,0,Northern Zone
